hf_folder,modeling_file,architecture_classes,modality,family,support_status,mapped_kb_nano,partial_or_unsupported_ops,evidence_hf,notes
vibevoice_asr,vibevoice_asr/modeling_vibevoice_asr.py,VibeVoiceAsrRMSNorm;VibeVoiceAsrMultiModalProjector;VibeVoiceAsrForConditionalGeneration,audio,ASR encoder,composable,VibeVoiceAsrRMSNorm->tasks/baseline/L1/rms_norm.py;VibeVoiceAsrMultiModalProjector->composes;VibeVoiceAsrForConditionalGeneration->composes,,vibevoice_asr/modular_vibevoice_asr.py:118;vibevoice_asr/modular_vibevoice_asr.py:122;vibevoice_asr/modular_vibevoice_asr.py:169,"Conv1d frontend + transformer encoder; standard primitives. [v5 inheritance] VibeVoiceAsrConfig(PreTrainedConfig), VibeVoiceAsrRMSNorm(Qwen2RMSNorm), VibeVoiceAsrPreTrainedModel(VibeVoiceAcousticTokenizerPreTrainedModel), VibeVoiceAsrForConditionalGeneration(AudioFlamingo3ForConditionalGeneration)"
video_llama_3,video_llama_3/modeling_video_llama_3.py,VideoLlama3VisionRotaryEmbedding;VideoLlama3VisionEmbeddings;VideoLlama3VisionMLP;VideoLlama3VisionAttention;VideoLlama3VisionEncoderLayer;VideoLlama3VisionEncoder;VideoLlama3VisionModel;VideoLlama3Projector;VideoLlama3Model;VideoLlama3ForConditionalGeneration;VideoLlama3ProcessorKwargs;VideoLlama3Processor;VideoLlama3ImageProcessorKwargs;VideoLlama3ImageProcessorPil;VideoLlama3ImageProcessor;VideoLlama3VideoProcessorInitKwargs;VideoLlama3VideoProcessor,multimodal,video LLaMA v3 (vision encoder portion),composable,VideoLlama3VisionRotaryEmbedding->tasks/baseline/L1/vision_rotary_emb.py;VideoLlama3VisionEmbeddings->tasks/baseline/L1/conv2d.py+tasks/baseline/L1/embedding.py;VideoLlama3VisionMLP->tasks/baseline/L2/siglip_mlp.py;VideoLlama3VisionAttention->tasks/baseline/L2/siglip_attention.py;VideoLlama3VisionEncoderLayer->composes;VideoLlama3VisionEncoder->composes;VideoLlama3VisionModel->composes;VideoLlama3Projector->composes;VideoLlama3Model->composes;VideoLlama3ForConditionalGeneration->composes;VideoLlama3ProcessorKwargs->composes;VideoLlama3Processor->composes;VideoLlama3ImageProcessorKwargs->composes;VideoLlama3ImageProcessorPil->composes;VideoLlama3ImageProcessor->composes;VideoLlama3VideoProcessorInitKwargs->composes;VideoLlama3VideoProcessor->composes,,video_llama_3/modular_video_llama_3.py:130;video_llama_3/modular_video_llama_3.py:166;video_llama_3/modular_video_llama_3.py:188;video_llama_3/modular_video_llama_3.py:192;video_llama_3/modular_video_llama_3.py:282;video_llama_3/modular_video_llama_3.py:320;video_llama_3/modular_video_llama_3.py:362;video_llama_3/modular_video_llama_3.py:451;video_llama_3/modular_video_llama_3.py:497;video_llama_3/modular_video_llama_3.py:687;video_llama_3/modular_video_llama_3.py:1017;video_llama_3/modular_video_llama_3.py:1027;video_llama_3/modular_video_llama_3.py:1116;video_llama_3/modular_video_llama_3.py:1120;video_llama_3/modular_video_llama_3.py:1222;video_llama_3/modular_video_llama_3.py:1329;video_llama_3/modular_video_llama_3.py:1333,"Vision frame encoder with Conv2d patch embed + RoPE + LayerNorm + SDPA; outputs to LLM (Llama). [v5 inheritance] VideoLlama3VisionConfig(SiglipVisionConfig), VideoLlama3Config(PreTrainedConfig), VideoLlama3VisionRotaryEmbedding(VisionRotaryEmbedding), VideoLlama3VisionMLP(SiglipMLP), VideoLlama3VisionAttention(SiglipAttention)"
video_llava,video_llava/modeling_video_llava.py,VideoLlavaMultiModalProjector;VideoLlavaModel;VideoLlavaForConditionalGeneration,multimodal,wrapper (VideoLLaVA composer),composable,VideoLlavaMultiModalProjector->composes;VideoLlavaModel->composes;VideoLlavaForConditionalGeneration->composes,,video_llava/modeling_video_llava.py:102;video_llava/modeling_video_llava.py:154;video_llava/modeling_video_llava.py:380,Trivial wrapper that delegates to AutoModel; only Linear projection layer is its own.
videomae,videomae/modeling_videomae.py,VideoMAEEmbeddings;VideoMAEPatchEmbeddings;VideoMAESelfAttention;VideoMAEAttention;VideoMAEIntermediate;VideoMAELayer;VideoMAEEncoder;VideoMAEModel;VideoMAEDecoder;VideoMAEForPreTraining;VideoMAEForVideoClassification,vision,video masked autoencoder,composable,VideoMAEEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VideoMAEPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VideoMAESelfAttention->tasks/baseline/L2/encoder_attention.py;VideoMAEAttention->composes;VideoMAEIntermediate->tasks/baseline/L2/encoder_mlp.py;VideoMAELayer->composes;VideoMAEEncoder->composes;VideoMAEModel->composes;VideoMAEDecoder->composes;VideoMAEForPreTraining->composes;VideoMAEForVideoClassification->composes,,videomae/modeling_videomae.py:94;videomae/modeling_videomae.py:127;videomae/modeling_videomae.py:209;videomae/modeling_videomae.py:279;videomae/modeling_videomae.py:296;videomae/modeling_videomae.py:326;videomae/modeling_videomae.py:361;videomae/modeling_videomae.py:398;videomae/modeling_videomae.py:469;videomae/modeling_videomae.py:511;videomae/modeling_videomae.py:680,"Conv3d patch embed + ViT-style encoder; standard primitives. [v5 inheritance] VideoMAEModel(VideoMAEPreTrainedModel), VideoMAEForPreTraining(VideoMAEPreTrainedModel), VideoMAEForVideoClassification(VideoMAEPreTrainedModel)"
videomt,videomt/modeling_videomt.py,VideomtPatchEmbeddings;VideomtEmbeddings;VideomtMLP;VideomtGatedMLP;VideomtLayer;VideomtLayerScale;VideomtLayerNorm2d;VideomtScaleLayer;VideomtScaleBlock;VideomtForUniversalSegmentation,vision,video motion tracking (with deformable + grid_sample),composable,VideomtPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VideomtEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VideomtMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;VideomtGatedMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;VideomtLayer->composes;VideomtLayerScale->composes;VideomtLayerNorm2d->composes;VideomtScaleLayer->composes;VideomtScaleBlock->composes;VideomtForUniversalSegmentation->composes,,videomt/modular_videomt.py:46;videomt/modular_videomt.py:60;videomt/modular_videomt.py:92;videomt/modular_videomt.py:96;videomt/modular_videomt.py:100;videomt/modular_videomt.py:104;videomt/modular_videomt.py:158;videomt/modular_videomt.py:162;videomt/modular_videomt.py:166;videomt/modular_videomt.py:170,"Uses standalone grid_sample + conv_transpose2d . [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['conv_transpose2d', 'grid_sample'] [v5 inheritance] VideomtConfig(EomtConfig), VideomtPatchEmbeddings(EomtPatchEmbeddings), VideomtEmbeddings(EomtEmbeddings), VideomtMLP(EomtMLP), VideomtGatedMLP(EomtSwiGLUFFN)"
vilt,vilt/modeling_vilt.py,ViltEmbeddings;TextEmbeddings;ViltPatchEmbeddings;ViltSelfAttention;ViltAttention;ViltIntermediate;ViltLayer;ViltEncoder;ViltModel;ViltPooler;ViltForMaskedLM;ViltPredictionHeadTransform;ViltMLMHead;ViltForQuestionAnswering;ViltForImageAndTextRetrieval;ViltForImagesAndTextClassification;ViltForTokenClassification,multimodal,ViLT (vision-language transformer),composable,ViltEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;TextEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViltPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViltSelfAttention->tasks/baseline/L2/encoder_attention.py;ViltAttention->composes;ViltIntermediate->tasks/baseline/L2/encoder_mlp.py;ViltLayer->composes;ViltEncoder->composes;ViltModel->composes;ViltPooler->composes;ViltForMaskedLM->composes;ViltPredictionHeadTransform->composes;ViltMLMHead->composes;ViltForQuestionAnswering->composes;ViltForImageAndTextRetrieval->composes;ViltForImagesAndTextClassification->composes;ViltForTokenClassification->composes,,vilt/modeling_vilt.py:67;vilt/modeling_vilt.py:221;vilt/modeling_vilt.py:275;vilt/modeling_vilt.py:306;vilt/modeling_vilt.py:375;vilt/modeling_vilt.py:391;vilt/modeling_vilt.py:420;vilt/modeling_vilt.py:457;vilt/modeling_vilt.py:514;vilt/modeling_vilt.py:652;vilt/modeling_vilt.py:672;vilt/modeling_vilt.py:809;vilt/modeling_vilt.py:826;vilt/modeling_vilt.py:845;vilt/modeling_vilt.py:958;vilt/modeling_vilt.py:1057;vilt/modeling_vilt.py:1199,ViT-like joint encoder over text+image patches; standard primitives. binary_cross_entropy is training-only.
vipllava,vipllava/modeling_vipllava.py,VipLlavaMultiModalProjector;VipLlavaModel;VipLlavaForConditionalGeneration,multimodal,wrapper (VipLLaVA composer),composable,VipLlavaMultiModalProjector->composes;VipLlavaModel->composes;VipLlavaForConditionalGeneration->composes,,vipllava/modular_vipllava.py:46;vipllava/modular_vipllava.py:74;vipllava/modular_vipllava.py:173,"Trivial wrapper around LLaVA-style multimodal; only LayerNorm + Linear of its own. [v5 inheritance] VipLlavaModelOutputWithPast(LlavaModelOutputWithPast), VipLlavaCausalLMOutputWithPast(LlavaCausalLMOutputWithPast), VipLlavaPreTrainedModel(LlavaPreTrainedModel), VipLlavaModel(LlavaModel), VipLlavaForConditionalGeneration(LlavaForConditionalGeneration)"
vision_encoder_decoder,vision_encoder_decoder/modeling_vision_encoder_decoder.py,,multimodal,wrapper (vision encoder + text decoder composer),composable,,,vision_encoder_decoder/modeling_vision_encoder_decoder.py:137,Trivial wrapper that composes any vision encoder + any text decoder. Coverage depends on components.
vision_text_dual_encoder,vision_text_dual_encoder/modeling_vision_text_dual_encoder.py,,multimodal,wrapper (CLIP-like dual encoder composer),composable,,,vision_text_dual_encoder/modeling_vision_text_dual_encoder.py:99;vision_text_dual_encoder/modeling_vision_text_dual_encoder.py:34;vision_text_dual_encoder/modeling_vision_text_dual_encoder.py:272,Trivial wrapper composing vision + text encoders with projection heads. cross_entropy is training-only.
visual_bert,visual_bert/modeling_visual_bert.py,VisualBertEmbeddings;VisualBertSelfAttention;VisualBertAttention;VisualBertIntermediate;VisualBertLayer;VisualBertEncoder;VisualBertPooler;VisualBertPredictionHeadTransform;VisualBertLMPredictionHead;VisualBertPreTrainingHeads;VisualBertModel;VisualBertForPreTraining;VisualBertForMultipleChoice;VisualBertForQuestionAnswering;VisualBertForVisualReasoning;VisualBertRegionToPhraseAttention;VisualBertForRegionToPhraseAlignment,multimodal,BERT with visual embeddings,composable,VisualBertEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VisualBertSelfAttention->tasks/baseline/L2/encoder_attention.py;VisualBertAttention->composes;VisualBertIntermediate->tasks/baseline/L2/encoder_mlp.py;VisualBertLayer->composes;VisualBertEncoder->composes;VisualBertPooler->composes;VisualBertPredictionHeadTransform->composes;VisualBertLMPredictionHead->composes;VisualBertPreTrainingHeads->composes;VisualBertModel->composes;VisualBertForPreTraining->composes;VisualBertForMultipleChoice->composes;VisualBertForQuestionAnswering->composes;VisualBertForVisualReasoning->composes;VisualBertRegionToPhraseAttention->composes;VisualBertForRegionToPhraseAlignment->composes,,visual_bert/modeling_visual_bert.py:41;visual_bert/modeling_visual_bert.py:172;visual_bert/modeling_visual_bert.py:244;visual_bert/modeling_visual_bert.py:267;visual_bert/modeling_visual_bert.py:297;visual_bert/modeling_visual_bert.py:334;visual_bert/modeling_visual_bert.py:381;visual_bert/modeling_visual_bert.py:397;visual_bert/modeling_visual_bert.py:415;visual_bert/modeling_visual_bert.py:432;visual_bert/modeling_visual_bert.py:499;visual_bert/modeling_visual_bert.py:689;visual_bert/modeling_visual_bert.py:844;visual_bert/modeling_visual_bert.py:1030;visual_bert/modeling_visual_bert.py:1167;visual_bert/modeling_visual_bert.py:1288;visual_bert/modeling_visual_bert.py:1335,BERT encoder with visual feature embeddings concatenated; standard primitives.
vit,vit/modeling_vit.py,ViTEmbeddings;ViTPatchEmbeddings;ViTSelfAttention;ViTAttention;ViTIntermediate;ViTLayer;ViTEncoder;ViTModel;ViTPooler;ViTForMaskedImageModeling;ViTForImageClassification,vision,vision-encoder,composable,ViTEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViTPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViTSelfAttention->tasks/baseline/L2/encoder_attention.py;ViTAttention->composes;ViTIntermediate->tasks/baseline/L2/encoder_mlp.py;ViTLayer->composes;ViTEncoder->composes;ViTModel->composes;ViTPooler->composes;ViTForMaskedImageModeling->composes;ViTForImageClassification->composes,,vit/modeling_vit.py:43;vit/modeling_vit.py:131;vit/modeling_vit.py:199;vit/modeling_vit.py:271;vit/modeling_vit.py:287;vit/modeling_vit.py:315;vit/modeling_vit.py:349;vit/modeling_vit.py:402;vit/modeling_vit.py:461;vit/modeling_vit.py:488;vit/modeling_vit.py:605,"No L4 vit pipeline but DINOv3/SigLIP2 are vision transformers using the same primitive set; ViT is wiring with existing L1/L2/L3 (vit_encoder_block.py). [v5 inheritance] ViTModel(ViTPreTrainedModel), ViTForMaskedImageModeling(ViTPreTrainedModel), ViTForImageClassification(ViTPreTrainedModel)"
vit_mae,vit_mae/modeling_vit_mae.py,ViTMAEEmbeddings;ViTMAEPatchEmbeddings;ViTMAESelfAttention;ViTMAEAttention;ViTMAEIntermediate;ViTMAELayer;ViTMAEEncoder;ViTMAEModel;ViTMAEDecoder;ViTMAEForPreTraining,vision,masked autoencoder ViT,composable,ViTMAEEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViTMAEPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViTMAESelfAttention->tasks/baseline/L2/encoder_attention.py;ViTMAEAttention->composes;ViTMAEIntermediate->tasks/baseline/L2/encoder_mlp.py;ViTMAELayer->composes;ViTMAEEncoder->composes;ViTMAEModel->composes;ViTMAEDecoder->composes;ViTMAEForPreTraining->composes,,vit_mae/modeling_vit_mae.py:165;vit_mae/modeling_vit_mae.py:295;vit_mae/modeling_vit_mae.py:361;vit_mae/modeling_vit_mae.py:435;vit_mae/modeling_vit_mae.py:452;vit_mae/modeling_vit_mae.py:482;vit_mae/modeling_vit_mae.py:517;vit_mae/modeling_vit_mae.py:569;vit_mae/modeling_vit_mae.py:636;vit_mae/modeling_vit_mae.py:758,"ViT encoder + lightweight decoder for image reconstruction; standard primitives + sinusoidal pos. [v5 inheritance] ViTMAEModel(ViTMAEPreTrainedModel), ViTMAEForPreTraining(ViTMAEPreTrainedModel)"
vit_msn,vit_msn/modeling_vit_msn.py,ViTMSNEmbeddings;ViTMSNPatchEmbeddings;ViTMSNSelfAttention;ViTMSNAttention;ViTMSNIntermediate;ViTMSNLayer;ViTMSNEncoder;ViTMSNModel;ViTMSNForImageClassification,vision,MSN-pretrained ViT,composable,ViTMSNEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViTMSNPatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;ViTMSNSelfAttention->tasks/baseline/L2/encoder_attention.py;ViTMSNAttention->composes;ViTMSNIntermediate->tasks/baseline/L2/encoder_mlp.py;ViTMSNLayer->composes;ViTMSNEncoder->composes;ViTMSNModel->composes;ViTMSNForImageClassification->composes,,vit_msn/modeling_vit_msn.py:37;vit_msn/modeling_vit_msn.py:127;vit_msn/modeling_vit_msn.py:196;vit_msn/modeling_vit_msn.py:270;vit_msn/modeling_vit_msn.py:287;vit_msn/modeling_vit_msn.py:317;vit_msn/modeling_vit_msn.py:352;vit_msn/modeling_vit_msn.py:407;vit_msn/modeling_vit_msn.py:478,"Standard ViT encoder. [v5 inheritance] ViTMSNModel(ViTMSNPreTrainedModel), ViTMSNForImageClassification(ViTMSNPreTrainedModel)"
vitdet,vitdet/modeling_vitdet.py,VitDetEmbeddings;VitDetAttention;VitDetDropPath;VitDetLayerNorm;VitDetResBottleneckBlock;VitDetMlp;VitDetLayer;VitDetEncoder;VitDetModel;VitDetBackbone,vision,ViT detector backbone,composable,VitDetEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VitDetAttention->tasks/baseline/L2/attention.py;VitDetDropPath->composes;VitDetLayerNorm->tasks/baseline/L1/layer_norm.py;VitDetResBottleneckBlock->composes;VitDetMlp->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;VitDetLayer->composes;VitDetEncoder->composes;VitDetModel->composes;VitDetBackbone->composes,,vitdet/modeling_vitdet.py:36;vitdet/modeling_vitdet.py:202;vitdet/modeling_vitdet.py:281;vitdet/modeling_vitdet.py:295;vitdet/modeling_vitdet.py:317;vitdet/modeling_vitdet.py:356;vitdet/modeling_vitdet.py:437;vitdet/modeling_vitdet.py:517;vitdet/modeling_vitdet.py:611;vitdet/modeling_vitdet.py:687,"ViT with windowed attention + relative position bias; standard primitives. [v5 inheritance] VitDetModel(VitDetPreTrainedModel), VitDetBackbone(VitDetPreTrainedModel)"
vitmatte,vitmatte/modeling_vitmatte.py,VitMatteBasicConv3x3;VitMatteConvStream;VitMatteFusionBlock;VitMatteHead;VitMatteDetailCaptureModule;VitMatteForImageMatting,vision,ViT for image matting,composable,VitMatteBasicConv3x3->composes;VitMatteConvStream->composes;VitMatteFusionBlock->composes;VitMatteHead->composes;VitMatteDetailCaptureModule->composes;VitMatteForImageMatting->composes,,vitmatte/modeling_vitmatte.py:72;vitmatte/modeling_vitmatte.py:98;vitmatte/modeling_vitmatte.py:133;vitmatte/modeling_vitmatte.py:150;vitmatte/modeling_vitmatte.py:174;vitmatte/modeling_vitmatte.py:220,Conv2d + BatchNorm2d + interpolate + sigmoid head; all primitives in L1. [v5 inheritance] VitMatteForImageMatting(VitMattePreTrainedModel)
vitpose,vitpose/modeling_vitpose.py,VitPoseSimpleDecoder;VitPoseClassicDecoder;VitPoseForPoseEstimation,vision,ViT pose estimation head,composable,VitPoseSimpleDecoder->composes;VitPoseClassicDecoder->composes;VitPoseForPoseEstimation->composes,,vitpose/modeling_vitpose.py:120;vitpose/modeling_vitpose.py:147;vitpose/modeling_vitpose.py:190,Uses conv_transpose2d in deconvolution head . [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['conv_transpose2d'] [v5 inheritance] VitPoseForPoseEstimation(VitPosePreTrainedModel)
vitpose_backbone,vitpose_backbone/modeling_vitpose_backbone.py,VitPoseBackbonePatchEmbeddings;VitPoseBackboneEmbeddings;VitPoseBackboneSelfAttention;VitPoseBackboneAttention;VitPoseNaiveMoe;VitPoseBackboneMoeMLP;VitPoseBackboneMLP;VitPoseBackboneLayer;VitPoseBackboneEncoder;VitPoseBackbone,vision,ViT pose backbone (encoder only),composable,VitPoseBackbonePatchEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VitPoseBackboneEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VitPoseBackboneSelfAttention->tasks/baseline/L2/encoder_attention.py;VitPoseBackboneAttention->composes;VitPoseNaiveMoe->tasks/baseline/L2/shared_expert_moe.py;VitPoseBackboneMoeMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;VitPoseBackboneMLP->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;VitPoseBackboneLayer->composes;VitPoseBackboneEncoder->composes;VitPoseBackbone->composes,,vitpose_backbone/modeling_vitpose_backbone.py:43;vitpose_backbone/modeling_vitpose_backbone.py:75;vitpose_backbone/modeling_vitpose_backbone.py:129;vitpose_backbone/modeling_vitpose_backbone.py:203;vitpose_backbone/modeling_vitpose_backbone.py:219;vitpose_backbone/modeling_vitpose_backbone.py:241;vitpose_backbone/modeling_vitpose_backbone.py:271;vitpose_backbone/modeling_vitpose_backbone.py:287;vitpose_backbone/modeling_vitpose_backbone.py:357;vitpose_backbone/modeling_vitpose_backbone.py:382,"Standard ViT encoder; pose head is separate. [v5 inheritance] VitPoseNaiveMoe(ModuleList), VitPoseBackboneEncoder(VitPoseBackbonePreTrainedModel), VitPoseBackbone(VitPoseBackbonePreTrainedModel)"
vits,vits/modeling_vits.py,VitsWaveNet;VitsPosteriorEncoder;HifiGanResidualBlock;VitsHifiGan;VitsResidualCouplingLayer;VitsResidualCouplingBlock;VitsDilatedDepthSeparableConv;VitsConvFlow;VitsElementwiseAffine;VitsStochasticDurationPredictor;VitsDurationPredictor;VitsAttention;VitsFeedForward;VitsEncoderLayer;VitsEncoder;VitsTextEncoder;VitsModel,audio,VITS TTS (text-to-speech),composable,VitsWaveNet->composes;VitsPosteriorEncoder->composes;HifiGanResidualBlock->composes;VitsHifiGan->composes;VitsResidualCouplingLayer->composes;VitsResidualCouplingBlock->composes;VitsDilatedDepthSeparableConv->composes;VitsConvFlow->composes;VitsElementwiseAffine->composes;VitsStochasticDurationPredictor->composes;VitsDurationPredictor->composes;VitsAttention->tasks/baseline/L2/attention.py;VitsFeedForward->tasks/baseline/L1/linear.py+tasks/baseline/L1/gelu.py;VitsEncoderLayer->composes;VitsEncoder->composes;VitsTextEncoder->composes;VitsModel->composes,,vits/modeling_vits.py:305;vits/modeling_vits.py:385;vits/modeling_vits.py:404;vits/modeling_vits.py:466;vits/modeling_vits.py:554;vits/modeling_vits.py:581;vits/modeling_vits.py:600;vits/modeling_vits.py:646;vits/modeling_vits.py:689;vits/modeling_vits.py:707;vits/modeling_vits.py:807;vits/modeling_vits.py:844;vits/modeling_vits.py:1000;vits/modeling_vits.py:1042;vits/modeling_vits.py:1081;vits/modeling_vits.py:1150;vits/modeling_vits.py:1243,"HiFi-GAN-style decoder uses conv_transpose1d + leaky_relu . Posterior encoder/flow are composable. [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['conv_transpose1d', 'leaky_relu']"
vivit,vivit/modeling_vivit.py,VivitTubeletEmbeddings;VivitEmbeddings;VivitSelfAttention;VivitAttention;VivitIntermediate;VivitLayer;VivitEncoder;VivitPooler;VivitModel;VivitForVideoClassification,vision,video ViT (tubelet embedding),composable,VivitTubeletEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VivitEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VivitSelfAttention->tasks/baseline/L2/encoder_attention.py;VivitAttention->composes;VivitIntermediate->tasks/baseline/L2/encoder_mlp.py;VivitLayer->composes;VivitEncoder->composes;VivitPooler->composes;VivitModel->composes;VivitForVideoClassification->composes,,vivit/modeling_vivit.py:36;vivit/modeling_vivit.py:80;vivit/modeling_vivit.py:189;vivit/modeling_vivit.py:263;vivit/modeling_vivit.py:279;vivit/modeling_vivit.py:310;vivit/modeling_vivit.py:340;vivit/modeling_vivit.py:354;vivit/modeling_vivit.py:396;vivit/modeling_vivit.py:527,Conv3d tubelet embed + ViT encoder; standard primitives.
vjepa2,vjepa2/modeling_vjepa2.py,VJEPA2PatchEmbeddings3D;VJEPA2Embeddings;VJEPA2RopeAttention;VJEPA2DropPath;VJEPA2MLP;VJEPA2Layer;VJEPA2Encoder;VJEPA2PredictorEmbeddings;VJEPA2Predictor;VJEPA2PoolerSelfAttention;VJEPA2PoolerCrossAttention;VJEPA2PoolerSelfAttentionLayer;VJEPA2PoolerCrossAttentionLayer;VJEPA2AttentivePooler;VJEPA2Model;VJEPA2ForVideoClassification,vision,V-JEPA-2 video predictor,kb_nano_l4,VJEPA2PatchEmbeddings3D->composes;VJEPA2Embeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VJEPA2RopeAttention->composes;VJEPA2DropPath->composes;VJEPA2MLP->tasks/baseline/L2/vjepa2_mlp.py;VJEPA2Layer->tasks/baseline/L3/vjepa2_layer.py;VJEPA2Encoder->composes;VJEPA2PredictorEmbeddings->tasks/baseline/L1/embedding.py+tasks/baseline/L1/layer_norm.py;VJEPA2Predictor->composes;VJEPA2PoolerSelfAttention->tasks/baseline/L2/encoder_attention.py;VJEPA2PoolerCrossAttention->tasks/baseline/L2/encoder_attention.py;VJEPA2PoolerSelfAttentionLayer->tasks/baseline/L3/vjepa2_layer.py;VJEPA2PoolerCrossAttentionLayer->tasks/baseline/L3/vjepa2_layer.py;VJEPA2AttentivePooler->composes;VJEPA2Model->tasks/baseline/L4/vjepa2.py;VJEPA2ForVideoClassification->tasks/baseline/L4/vjepa2.py,,vjepa2/modeling_vjepa2.py:84;vjepa2/modeling_vjepa2.py:119;vjepa2/modeling_vjepa2.py:207;vjepa2/modeling_vjepa2.py:349;vjepa2/modeling_vjepa2.py:363;vjepa2/modeling_vjepa2.py:379;vjepa2/modeling_vjepa2.py:427;vjepa2/modeling_vjepa2.py:487;vjepa2/modeling_vjepa2.py:557;vjepa2/modeling_vjepa2.py:638;vjepa2/modeling_vjepa2.py:694;vjepa2/modeling_vjepa2.py:759;vjepa2/modeling_vjepa2.py:795;vjepa2/modeling_vjepa2.py:829;vjepa2/modeling_vjepa2.py:896;vjepa2/modeling_vjepa2.py:984,"Conv3d patch embed + ViT-style encoder + predictor; standard primitives. [auto-l4-detect] tasks/baseline/L4/vjepa2.py exists in kb-nano tree → reclassified composable→kb_nano_l4 [v5 inheritance] VJEPA2Model(VJEPA2PreTrainedModel), VJEPA2ForVideoClassification(VJEPA2PreTrainedModel) [v5] L4/vjepa2.py exists"
voxtral,voxtral/modeling_voxtral.py,VoxtralAttention;VoxtralEncoderLayer;VoxtralEncoder;VoxtralMultiModalProjector;VoxtralForConditionalGeneration,audio+text,Voxtral audio encoder,composable,VoxtralAttention->tasks/baseline/L2/attention.py;VoxtralEncoderLayer->composes;VoxtralEncoder->composes;VoxtralMultiModalProjector->composes;VoxtralForConditionalGeneration->composes,,voxtral/modular_voxtral.py:41;voxtral/modular_voxtral.py:45;voxtral/modular_voxtral.py:63;voxtral/modular_voxtral.py:117;voxtral/modular_voxtral.py:136,"Conv1d frontend + transformer; uses avg_pool_1d . [auto-reclassify] All flagged ops now have kb-nano L1 wrappers added in this audit branch: ['avg_pool_1d'] [v5 inheritance] VoxtralAttention(Qwen2AudioAttention), VoxtralEncoderLayer(Qwen2AudioEncoderLayer), VoxtralPreTrainedModel(Qwen2AudioPreTrainedModel), VoxtralEncoder(Qwen2AudioEncoder)"
